job_id,stage_id,task_id,job_arrival_t,task_start_t,task_end_t,task_dur,job_end_t,job_dur
0,0,0,0,3100.2,4220.2,1120,5440.25,5440
0,0,1,0,4220.2,4340.2,120,5440.25,5440
0,1,0,0,2000,3100.2,1100,5440.25,5440
0,1,3,0,2000,3100.2,1100,5440.25,5440
0,1,6,0,2000,3100.2,1100,5440.25,5440
0,1,12,0,2000,3100.2,1100,5440.25,5440
0,1,9,0,2000,3100.2,1100,5440.25,5440
0,1,15,0,2000,3100.2,1100,5440.25,5440
0,1,18,0,2000,3100.2,1100,5440.25,5440
0,1,5,0,2000,3100.2,1100,5440.25,5440
0,1,2,0,2000,3100.2,1100,5440.25,5440
0,1,8,0,2000,3100.2,1100,5440.25,5440
0,1,11,0,2000,3100.2,1100,5440.25,5440
0,1,17,0,2000,3100.2,1100,5440.25,5440
0,1,14,0,2000,3100.2,1100,5440.25,5440
0,1,1,0,2000,3100.2,1100,5440.25,5440
0,1,4,0,2000,3100.2,1100,5440.25,5440
0,1,10,0,2000,3100.2,1100,5440.25,5440
0,1,7,0,2000,3100.2,1100,5440.25,5440
0,1,13,0,2000,3100.2,1100,5440.25,5440
0,1,19,0,2000,3100.2,1100,5440.25,5440
0,1,16,0,2000,3100.2,1100,5440.25,5440
0,2,17,0,4340.2,5440.25,1100,5440.25,5440
0,2,1,0,4340.2,5440.25,1100,5440.25,5440
0,2,7,0,4340.2,5440.25,1100,5440.25,5440
0,2,4,0,4340.2,5440.25,1100,5440.25,5440
0,2,10,0,4340.2,5440.25,1100,5440.25,5440
0,2,13,0,4340.2,5440.25,1100,5440.25,5440
0,2,19,0,4340.2,5440.25,1100,5440.25,5440
0,2,16,0,4340.2,5440.25,1100,5440.25,5440
0,2,0,0,4340.2,5440.25,1100,5440.25,5440
0,2,3,0,4340.2,5440.25,1100,5440.25,5440
0,2,6,0,4340.2,5440.25,1100,5440.25,5440
0,2,12,0,4340.2,5440.25,1100,5440.25,5440
0,2,9,0,4340.2,5440.25,1100,5440.25,5440
0,2,15,0,4340.2,5440.25,1100,5440.25,5440
0,2,18,0,4340.2,5440.25,1100,5440.25,5440
0,2,5,0,4340.2,5440.25,1100,5440.25,5440
0,2,2,0,4340.2,5440.25,1100,5440.25,5440
0,2,8,0,4340.2,5440.25,1100,5440.25,5440
0,2,14,0,4340.2,5440.25,1100,5440.25,5440
0,2,11,0,4340.2,5440.25,1100,5440.25,5440
1,0,11,226615.71449497886,228615.71449497886,229716.71449497886,1101,233162.71449497886,6547
1,0,14,226615.71449497886,228615.71449497886,229716.71449497886,1101,233162.71449497886,6547
1,0,17,226615.71449497886,228615.71449497886,229716.71449497886,1101,233162.71449497886,6547
1,0,1,226615.71449497886,228615.71449497886,229716.71449497886,1101,233162.71449497886,6547
1,0,4,226615.71449497886,228615.71449497886,229716.71449497886,1101,233162.71449497886,6547
1,0,7,226615.71449497886,228615.71449497886,229716.71449497886,1101,233162.71449497886,6547
1,0,13,226615.71449497886,228615.71449497886,229716.71449497886,1101,233162.71449497886,6547
1,0,10,226615.71449497886,228615.71449497886,229716.71449497886,1101,233162.71449497886,6547
1,0,16,226615.71449497886,228615.71449497886,229716.71449497886,1101,233162.71449497886,6547
1,0,19,226615.71449497886,228615.71449497886,229716.71449497886,1101,233162.71449497886,6547
1,0,0,226615.71449497886,228615.71449497886,229716.71449497886,1101,233162.71449497886,6547
1,0,6,226615.71449497886,228615.71449497886,229716.71449497886,1101,233162.71449497886,6547
1,0,3,226615.71449497886,228615.71449497886,229716.71449497886,1101,233162.71449497886,6547
1,0,9,226615.71449497886,228615.71449497886,229716.71449497886,1101,233162.71449497886,6547
1,0,12,226615.71449497886,228615.71449497886,229716.71449497886,1101,233162.71449497886,6547
1,0,18,226615.71449497886,228615.71449497886,229716.71449497886,1101,233162.71449497886,6547
1,0,15,226615.71449497886,228615.71449497886,229716.71449497886,1101,233162.71449497886,6547
1,0,2,226615.71449497886,228615.71449497886,229716.71449497886,1101,233162.71449497886,6547
1,0,8,226615.71449497886,228615.71449497886,229716.71449497886,1101,233162.71449497886,6547
1,0,5,226615.71449497886,228615.71449497886,229716.71449497886,1101,233162.71449497886,6547
1,1,0,226615.71449497886,229716.71449497886,230821.21449497886,1104,233162.71449497886,6547
1,1,1,226615.71449497886,229716.71449497886,230821.21449497886,1104,233162.71449497886,6547
1,2,1,226615.71449497886,230821.21449497886,231939.21449497886,1118,233162.71449497886,6547
1,2,0,226615.71449497886,231939.21449497886,232057.21449497886,118,233162.71449497886,6547
1,3,3,226615.71449497886,232057.21449497886,233162.71449497886,1105,233162.71449497886,6547
1,3,0,226615.71449497886,232057.21449497886,233162.71449497886,1105,233162.71449497886,6547
1,3,6,226615.71449497886,232057.21449497886,233162.71449497886,1105,233162.71449497886,6547
1,3,9,226615.71449497886,232057.21449497886,233162.71449497886,1105,233162.71449497886,6547
1,3,15,226615.71449497886,232057.21449497886,233162.71449497886,1105,233162.71449497886,6547
1,3,12,226615.71449497886,232057.21449497886,233162.71449497886,1105,233162.71449497886,6547
1,3,18,226615.71449497886,232057.21449497886,233162.71449497886,1105,233162.71449497886,6547
1,3,2,226615.71449497886,232057.21449497886,233162.71449497886,1105,233162.71449497886,6547
1,3,8,226615.71449497886,232057.21449497886,233162.71449497886,1105,233162.71449497886,6547
1,3,5,226615.71449497886,232057.21449497886,233162.71449497886,1105,233162.71449497886,6547
1,3,11,226615.71449497886,232057.21449497886,233162.71449497886,1105,233162.71449497886,6547
