num_iterations,agent_cls,data_sampler_cls,job_arrival_cap,job_arrival_rate,num_heuristics,resource_allocation,splitting_rule,checkpointing_freq,artifacts_dir,training time
100,HyperHeuristicScheduler,AlibabaDataSampler,500,0.000125,2,DRA,None,5,2_DRA_cap500_int8,7595.088200807571
100,HyperHeuristicScheduler,TPCHDataSampler,100,2.08333333333333e-05,2,DRA,None,5,2_DRA_cap100_int48,2059.374988555908
100,HyperHeuristicScheduler,AlibabaDataSampler,500,0.000125,3,DRA,None,5,3_DRA_cap500_int8,7297.484033107758
100,HyperHeuristicScheduler,TPCHDataSampler,100,2.08333333333333e-05,3,DRA,None,5,3_DRA_cap100_int48,2040.523761510849
