id,scheduler_name,train_data,num_heuristics,resource_allocation,splitting_rule,model_num_train,list_resource_heuristics,num_experiments,render_mode,model_name,test_data,job_arrival_rate,job_arrival_cap,avg_job_duration
5,"""HyperHeuristicScheduler""","""AlibabaDataSampler""",3,"""DRA""","""None""",5,,10,"""None""","""3_DRA_cap500_int8""","""TPCHDataSampler""",2.08333333333333E-05,1000,241.19864297651384,237.52191928488082,237.1635581908296,245.20727130174558,233.7449006638953,234.50614620788548,228.96784299513908,247.80900577363545,235.46731441765715,241.71286342675276
5,"""HyperHeuristicScheduler""","""AlibabaDataSampler""",4,"""DRA""","""None""",5,,10,"""None""","""4_DRA_cap500_int8""","""TPCHDataSampler""",2.08333333333333E-05,1000,225.7611980171766,230.6620412270961,216.83402746595266,235.02525515068513,220.7280779557662,220.83810346531726,223.57592674837025,215.75915629499974,220.31459192223403,225.7100538483733
7,"""DecimaScheduler""","""AlibabaDataSampler""",2,"""DNN""","""None""",5,,10,"""None""","""cap100_int8""","""TPCHDataSampler""",2.08333333333333E-05,1000,338.12293398714235,345.2657417246257,348.7053078444782,351.88450657107563,340.38414748743253,355.7735834962953,347.5997626762433,347.1284512465114,350.95233663957106,348.55651339387094
7,"""DecimaScheduler""","""AlibabaDataSampler""",2,"""DNN""","""None""",20,,10,"""None""","""cap100_int8""","""TPCHDataSampler""",2.08333333333333E-05,1000,239.41166622425598,233.1977062568907,238.43961839786405,242.3657666086313,246.90500496147988,235.25957171705963,235.82315033249492,239.61700249816212,251.40651981765134,238.7072090177645
5,"""HyperHeuristicScheduler""","""TPCHDataSampler""",3,"""DRA""","""None""",5,,10,"""None""","""3_DRA_cap500_int48""","""TPCHDataSampler""",2.08333333333333E-05,1000,245.02061616175737,242.4015025455295,243.30498193987208,244.70620275779774,246.137764196011,244.24988886424558,238.0387594163191,231.68186420126995,239.67306281327802,227.75466743263513
5,"""HyperHeuristicScheduler""","""TPCHDataSampler""",4,"""DRA""","""None""",5,,10,"""None""","""4_DRA_cap500_int48""","""TPCHDataSampler""",2.08333333333333E-05,1000,231.68236352650004,222.8967079034987,223.5594952501085,231.31242602654405,224.9147165691989,228.1156982430426,228.31089864781583,221.5235758819976,224.7021207186314,225.02948740458712
7,"""DecimaScheduler""","""TPCHDataSampler""",2,"""DNN""","""None""",5,,10,"""None""","""cap100_int48""","""TPCHDataSampler""",2.08333333333333E-05,1000,315.6739574774453,323.0314726367226,320.22447395479327,316.98803095775105,347.9546162278272,323.1551413837608,319.4842556180812,318.64895305801576,323.2643490545635,330.80426704737397
7,"""DecimaScheduler""","""TPCHDataSampler""",2,"""DNN""","""None""",20,,10,"""None""","""cap100_int48""","""TPCHDataSampler""",2.08333333333333E-05,1000,234.50129221816977,233.75857996497297,236.0778857172486,232.24331233090732,235.65825905573658,236.5606649995768,226.5981810445913,229.6064024082053,236.28329129372455,236.40327403305133
5,"""HyperHeuristicScheduler""","""AlibabaDataSampler""",3,"""DRA""","""None""",5,,10,"""None""","""3_DRA_cap500_int8""","""AlibabaDataSampler""",0.000125,1000,584.2280521119409,434.3815102856038,510.8612598252098,406.6037229878957,408.4176619234769,575.4711583467974,544.5833299393023,498.25623125603033,547.3965777302628,564.4024287963338
5,"""HyperHeuristicScheduler""","""AlibabaDataSampler""",4,"""DRA""","""None""",5,,10,"""None""","""4_DRA_cap500_int8""","""AlibabaDataSampler""",0.000125,1000,513.5009371064002,713.1793105861194,481.15854519519934,604.4656935068484,689.3995168350829,671.0597402719961,609.7638419159323,500.10779386234066,479.99401869732156,549.906399919784
7,"""DecimaScheduler""","""AlibabaDataSampler""",2,"""DNN""","""None""",5,,10,"""None""","""cap100_int8""","""AlibabaDataSampler""",0.000125,1000,814.9891510593595,1191.0164794708885,949.3370722486449,895.0711805571796,907.8631090727072,743.1580421166274,858.9094680299665,901.6044410742595,1006.7763606349636,914.228705131187
7,"""DecimaScheduler""","""AlibabaDataSampler""",2,"""DNN""","""None""",20,,10,"""None""","""cap100_int8""","""AlibabaDataSampler""",0.000125,1000,171.328299680744,134.67680446026077,125.39424381727437,196.08806766794106,131.86958580961647,154.027324076252,185.74010646576653,129.67469469635654,172.08426942686648,151.89216875186028
5,"""HyperHeuristicScheduler""","""TPCHDataSampler""",3,"""DRA""","""None""",5,,10,"""None""","""3_DRA_cap500_int48""","""AlibabaDataSampler""",0.000125,1000,691.2907306066745,486.46079910854706,462.2782859868959,504.8824341694544,539.4916514810543,427.5315885455589,715.9745208887792,611.9427374775697,442.5783394678829,502.5171215793854
5,"""HyperHeuristicScheduler""","""TPCHDataSampler""",4,"""DRA""","""None""",5,,10,"""None""","""4_DRA_cap500_int48""","""AlibabaDataSampler""",0.000125,1000,549.2875717543436,627.4322562253411,587.5892793130387,469.18867675770923,647.9619768160267,649.4586553408651,1097.6379955523332,471.08672838365675,691.4406327538865,598.2818686119809
7,"""DecimaScheduler""","""TPCHDataSampler""",2,"""DNN""","""None""",5,,10,"""None""","""cap100_int48""","""AlibabaDataSampler""",0.000125,1000,607.5798817953427,625.7680408557379,505.7804615688655,553.3724123048813,626.1011453891633,579.9292137287246,618.7050239269595,592.1537276499784,659.1615217683286,460.5566552398958
7,"""DecimaScheduler""","""TPCHDataSampler""",2,"""DNN""","""None""",20,,10,"""None""","""cap100_int48""","""AlibabaDataSampler""",0.000125,1000,212.4282565926553,229.3467247595481,222.83592657114204,205.17388877052002,147.68094096276417,176.9794078775409,131.05082329507135,183.10331629364939,240.44114461715262,179.7559068088966
