id,scheduler_name,train_data,model_name,model_num_train,num_heuristics,list_heuristics,resource_allocation,num_resource_heuristics,list_resource_heuristics,num_experiments,splitting_rule,render_mode,job_arrival_cap,job_arrival_rate,test_data,avg_job_duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"""HyperHeuristicScheduler""","""TPCHDataSampler""","""4_DRA_cap100_int48""",50,4,,"""DRA""",,,50,"""None""","""None""",500,0.000125,"""AlibabaDataSampler""", 90 , 250 , 963 , 150 , 139 , 76 , 110 , 188 , 156 ," 1,444 ", 378 , 136 , 952 , 72 ," 1,635 ", 821 , 227 , 790 , 984 , 427 ," 1,120 "," 2,499 ", 159 , 46 , 448 , 651 , 103 , 37 ," 1,716 ", 372 , 45 , 987 , 344 , 148 , 242 , 239 , 629 , 132 , 188 , 259 , 211 , 128 ," 1,620 ", 440 , 386 , 431 , 101 , 533 , 114 , 446 
12,"""HyperHeuristicScheduler""","""TPCHDataSampler""","""4_DRA_cap100_int48""",100,4,,"""DRA""",,,50,"""None""","""None""",500,0.000125,"""AlibabaDataSampler""", 69 , 157 , 634 , 208 , 109 , 65 , 190 , 238 , 162 ," 1,486 ", 356 , 133 , 808 , 75 ," 1,565 ", 769 , 217 , 320 , 506 , 398 ," 2,093 "," 2,436 ", 209 , 49 , 415 , 777 , 143 , 45 ," 1,573 ", 734 , 47 ," 1,031 ", 347 , 147 , 204 , 237 , 552 , 172 , 230 , 217 , 224 , 555 ," 1,604 ", 395 , 321 , 405 , 98 , 238 , 103 , 464 
13,"""DecimaScheduler""","""TPCHDataSampler""","""cap100_int48""",100,1,,"""DNN""",,,50,"""None""","""None""",500,0.000125,"""AlibabaDataSampler""", 53 , 139 , 164 ," 7,055 ", 88 , 59 , 85 , 183 , 93 , 234 , 234 , 113 , 121 , 75 , 174 , 202 , 335 , 161 , 158 , 439 , 206 , 318 , 115 , 37 , 250 , 223 , 55 , 35 , 261 , 201 , 81 , 174 , 182 , 102 , 225 , 119 , 149 , 143 , 189 , 138 , 103 , 146 , 495 , 191 , 229 , 365 , 64 , 360 , 78 , 170 
2,"""HyperHeuristicScheduler""","""AlibabaDataSampler""","""2_DRA_cap500_int8""",10,2,,"""DRA""",,,50,"""None""","""None""",500,0.000125,"""AlibabaDataSampler""", 88 , 247 , 555 , 314 , 117 , 72 , 101 , 269 , 153 , 897 , 581 , 147 , 674 , 79 , 328 , 962 , 316 ," 1,663 ", 742 , 359 ," 2,273 "," 1,116 ", 181 , 51 , 319 , 464 , 129 , 43 ," 1,403 ", 444 , 46 , 871 , 305 , 180 , 281 , 152 , 606 , 149 , 180 , 272 , 112 , 142 ," 1,074 ", 461 , 444 , 571 , 119 , 475 , 90 , 480 
2,"""HyperHeuristicScheduler""","""AlibabaDataSampler""","""2_DRA_cap500_int8""",50,2,,"""DRA""",,,50,"""None""","""None""",500,0.000125,"""AlibabaDataSampler""", 70 , 246 , 632 , 170 , 183 , 70 , 105 , 300 , 142 ," 1,566 ", 492 , 135 , 743 , 67 , 738 , 760 , 218 ," 1,611 ", 503 , 271 ," 2,678 ", 966 , 218 , 47 , 320 , 448 , 120 , 40 ," 1,295 ", 426 , 43 , 883 , 412 , 228 , 247 , 149 , 532 , 141 , 401 , 239 , 122 , 218 ," 1,130 ", 450 , 488 , 558 , 126 , 937 , 98 , 440 
3,"""HyperHeuristicScheduler""","""AlibabaDataSampler""","""3_DRA_cap500_int8""",10,3,,"""DRA""",,,50,"""None""","""None""",500,0.000125,"""AlibabaDataSampler""", 64 , 253 , 324 , 244 , 101 , 76 , 107 , 253 , 143 ," 1,013 ", 433 , 124 , 169 , 66 ," 1,177 ", 635 , 122 , 350 , 431 , 248 ," 1,827 ", 799 , 138 , 45 , 443 , 538 , 123 , 37 ," 1,007 ", 452 , 39 , 662 , 250 , 154 , 172 , 113 , 543 , 119 , 265 , 217 , 79 , 134 , 867 , 300 , 357 , 549 , 122 , 468 , 95 , 305 
3,"""HyperHeuristicScheduler""","""AlibabaDataSampler""","""3_DRA_cap500_int8""",50,3,,"""DRA""",,,50,"""None""","""None""",500,0.000125,"""AlibabaDataSampler""", 85 , 241 , 270 , 178 , 147 , 59 , 118 , 236 , 131 ," 1,688 ", 356 , 122 , 282 , 75 , 791 , 646 , 176 ," 1,417 ", 501 , 177 ," 1,748 ", 766 , 121 , 49 , 296 , 708 , 160 , 38 ," 1,107 ", 287 , 43 , 239 , 300 , 136 , 187 , 133 , 487 , 148 , 450 , 188 , 95 , 223 , 902 , 349 , 445 , 463 , 104 , 574 , 98 , 389 
7,"""DecimaScheduler""","""AlibabaDataSampler""","""cap500_int8""",10,1,,"""DNN""",,,50,"""None""","""None""",500,0.000125,"""AlibabaDataSampler""", 58 , 162 , 333 , 331 , 107 , 69 , 113 , 160 , 99 , 292 , 319 , 131 , 213 , 60 , 743 , 277 , 228 , 321 , 598 , 298 , 884 , 495 , 111 , 32 , 499 , 259 , 114 , 40 , 596 , 296 , 614 , 420 , 290 , 108 , 239 , 111 , 201 , 210 , 190 , 164 , 69 , 148 , 662 , 209 , 257 , 326 , 62 , 272 , 83 , 223 
7,"""DecimaScheduler""","""AlibabaDataSampler""","""cap500_int8""",50,1,,"""DNN""",,,50,"""None""","""None""",500,0.000125,"""AlibabaDataSampler""", 40 , 58 , 152 , 127 , 89 , 48 , 65 , 108 , 100 , 149 , 106 , 115 , 127 , 56 , 170 , 203 , 125 , 96 , 170 , 171 , 250 , 178 , 108 , 29 , 417 , 126 , 56 , 32 , 286 , 164 , 36 , 136 , 127 , 93 , 105 , 54 , 101 , 95 , 116 , 99 , 70 , 116 , 443 , 109 , 127 , 217 , 54 , 90 , 60 , 176 
7,"""DecimaScheduler""","""AlibabaDataSampler""","""cap500_int8""",100,1,,"""DNN""",,,50,"""None""","""None""",500,0.000125,"""AlibabaDataSampler""", 49 , 61 , 166 , 102 , 96 , 46 , 60 , 94 , 68 , 253 , 96 , 108 , 98 , 58 , 121 , 177 , 80 , 79 , 133 , 280 , 205 , 189 , 72 , 31 , 110 , 111 , 92 , 29 , 210 , 189 , 52 , 138 , 140 , 75 , 151 , 60 , 110 , 105 , 168 , 115 , 66 , 68 , 424 , 132 , 111 , 178 , 60 , 117 , 55 , 116 
