 Experiment N , 100 ,,,,,,,,, bin N ,1000,,aliali,,,,,,,,
,,,,,,,,,,,, 15 ,,,,,,,,,
"""2_DNN_3_None""","""2_Hyperheuristic_3_None""","""5_DNN_3_None""","""5_Hyperheuristic_3_None""","""2_DNN_3_DTS""","""2_Hyperheuristic_3_DTS""","""5_DNN_3_DTS""","""5_Hyperheuristic_3_DTS""",Decima,,,, 429 ," ""2_DNN_3_None"" "," ""2_Hyperheuristic_3_None"" "," ""5_DNN_3_None"" "," ""5_Hyperheuristic_3_None"" "," ""2_DNN_3_DTS"" "," ""2_Hyperheuristic_3_DTS"" "," ""5_DNN_3_DTS"" "," ""5_Hyperheuristic_3_DTS"" ", Decima 
 29 , 29 , 44 , 196 , 19 , 27 , 16 , 157 , 19 ,,, 32 , 29 ,84%,7%,80%,9%,96%,30%,90%,23%,100%
 23 , 39 , 28 , 198 , 17 , 27 , 16 , 25 , 17 ,,, 33 , 29 ,84%,9%,80%,12%,96%,30%,90%,24%,100%
 23 , 216 , 25 , 206 , 18 , 56 , 19 , 177 , 17 ,,, 34 , 29 ,85%,9%,81%,14%,96%,30%,90%,25%,100%
 19 , 209 , 37 , 71 , 17 , 22 , 18 , 25 , 16 ,,, 35 , 30 ,85%,9%,81%,15%,96%,31%,91%,26%,100%
 21 , 92 , 22 , 27 , 22 , 19 , 26 , 152 , 17 ,,, 36 , 30 ,85%,9%,81%,16%,96%,33%,91%,26%,100%
 21 , 193 , 46 , 39 , 16 , 176 , 21 , 28 , 16 ,,, 37 , 31 ,85%,9%,83%,16%,96%,33%,91%,27%,100%
 22 , 34 , 22 , 68 , 24 , 24 , 21 , 165 , 17 ,,, 38 , 31 ,87%,10%,85%,19%,96%,35%,91%,28%,100%
 22 , 29 , 21 , 195 , 16 , 148 , 17 , 151 , 16 ,,, 39 , 31 ,87%,10%,86%,20%,96%,37%,91%,29%,100%
 24 , 187 , 30 , 197 , 18 , 181 , 32 , 53 , 17 ,,, 40 , 32 ,87%,11%,88%,20%,96%,38%,92%,30%,100%
 26 , 43 , 21 , 22 , 17 , 47 , 17 , 154 , 19 ,,, 41 , 32 ,90%,11%,89%,20%,96%,39%,92%,30%,100%
 28 , 53 , 21 , 280 , 21 , 74 , 19 , 172 , 22 ,,, 42 , 33 ,91%,11%,89%,22%,96%,39%,93%,30%,100%
 33 , 50 , 23 , 63 , 16 , 26 , 16 , 32 , 17 ,,, 43 , 33 ,93%,11%,90%,22%,96%,39%,93%,30%,100%
 21 , 194 , 48 , 37 , 20 , 144 , 18 , 53 , 16 ,,, 44 , 34 ,94%,12%,90%,23%,96%,39%,93%,31%,100%
 26 , 196 , 24 , 40 , 17 , 55 , 16 , 166 , 18 ,,, 45 , 34 ,94%,13%,90%,23%,96%,39%,93%,32%,100%
 22 , 69 , 21 , 194 , 15 , 59 , 22 , 157 , 18 ,,, 46 , 34 ,94%,13%,90%,24%,96%,39%,93%,32%,100%
 24 , 46 , 29 , 69 , 18 , 147 , 18 , 167 , 17 ,,, 47 , 35 ,94%,14%,90%,24%,96%,39%,93%,32%,100%
