id,scheduler_name,input_feature,train_data,job_arrival_cap,job_arrival_rate,num_heuristics,resource_allocation,model_num_train,model_name,num_executors,num_experiments,test_data,avg_job_duration
1,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,10,cap100_int8,20,50,TPCHDataSampler,2731.7384687199014
1,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,10,cap100_int8,20,50,TPCHDataSampler,2550.013875046055
1,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,10,cap100_int8,20,50,TPCHDataSampler,2575.3294448159268
1,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,10,cap100_int8,20,50,TPCHDataSampler,2967.2711917660167
1,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,10,cap100_int8,20,50,TPCHDataSampler,2492.8230670840144
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2828.7422448889088
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,3524.0190994735594
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2806.7070819759
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,3121.273348692165
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2994.90652739376
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2981.8659601469512
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2808.621383895349
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,3589.636147969518
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2422.815991639784
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2271.3660226919887
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2546.823658166764
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2317.8669611560567
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2929.69610093085
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2324.9792360033484
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,3800.8832547260104
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2897.2020857483335
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,3559.5137811351224
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2580.3771954759204
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,3151.102258667795
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,3156.825489730823
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,3763.389828850714
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2827.3936548329016
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,3525.1677454942655
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2440.68475634613
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,3361.687070487736
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,3637.902773774628
2,DecimaScheduler,nan,TPCHDataSampler,100,0.000125,nan,nan,50,cap100_int8,20,50,TPCHDataSampler,2960.9872548121334
