id,scheduler_name,input_feature,train_data,job_arrival_cap,job_arrival_rate,num_heuristics,resource_allocation,model_num_train,model_name,num_executors,num_experiments,test_data,avg_job_duration
4,HyperHeuristicScheduler,"[""num_queue"",""glob""]",TPCHDataSampler,100,0.000125,2,DRA,10,2_DRA_cap100_int8_feature2,20,50,TPCHDataSampler,"[1937.5202248889086, 1605.340572731681, 1662.81875774509, 1990.938338692165, 1775.656094253132, 1726.674982772729, 1613.5364752995704, 1827.386187910861, 1401.270601639784, 1403.7198426919888, 1400.9113828352683, 1400.0163611560567, 1731.8679764718268, 1451.841562196288, 2193.92549472601, 1708.2196457483333, 1628.4364072174162, 1480.4394554759203, 1723.7809186677955, 1724.3316397308233, 2300.919705329934, 1481.1531813022827, 1936.9933198805327, 1553.164425812894, 1770.0643604877357, 1966.5441337746267, 1788.0492948121337, 1697.1663053849875, 1365.489277197842, 1677.3902382212661, 1875.980570565606, 1742.9055009859344, 1899.1517788435565, 2111.202322596029, 1541.953258501308, 1843.075569873516, 2065.7705652330333, 1494.9947506303533, 1689.4342628460545, 1757.506540458791, 1739.2113327908908, 1192.3603750324403, 1911.7928073633118, 1701.814560389907, 1586.8428230419365, 1393.4747710212264, 1504.51382744909, 1505.959320330936, 1648.7141690868775, 1363.5095524690323]"
5,HyperHeuristicScheduler,"[""num_queue"",""glob""]",TPCHDataSampler,100,0.000125,2,DRA,50,2_DRA_cap100_int8_feature2,20,50,TPCHDataSampler,"[1919.2281848889086, 1545.0366427316808, 1694.95747774509, 1997.640818692165, 1755.221184253132, 1720.345672772729, 1623.7122152995703, 1820.292367910861, 1376.7722016397836, 1380.9918726919886, 1401.5010328352685, 1402.6310611560566, 1729.3319164718268, 1461.469862196288, 2212.6615747260103, 1689.2648657483332, 1626.4677772174161, 1543.6378954759205, 1721.7283086677953, 1733.9089897308231, 2328.195275329934, 1481.2678013022828, 1911.5034198805326, 1529.7766758128942, 1733.9889004877357, 1934.8598837746267, 1787.1550748121335, 1725.6363253849875, 1372.911517197842, 1642.284518221266, 1829.6934505656056, 1727.9607809859344, 1889.4437188435568, 2091.240902596029, 1539.0678685013079, 1842.845699873516, 2093.3467052330334, 1555.0591006303534, 1577.4971528460544, 1768.156390458791, 1729.7052127908905, 1194.1583950324402, 1943.8525673633117, 1681.5767803899068, 1619.1884730419365, 1429.6500910212262, 1478.1222774490902, 1516.912910330936, 1619.6030690868774, 1331.4073424690325]"
6,HyperHeuristicScheduler,"[""num_queue"",""glob""]",TPCHDataSampler,100,0.000125,2,DRA,100,2_DRA_cap100_int8_feature2,20,50,TPCHDataSampler,"[1927.1926948889086, 1550.647592731681, 1672.1498577450898, 2017.773328692165, 1776.7588342531321, 1716.576222772729, 1636.1850752995704, 1844.497587910861, 1382.2099716397836, 1393.7627526919887, 1395.3180328352685, 1419.2628511560567, 1710.3299864718267, 1455.7874621962878, 2209.1242547260103, 1715.3098257483332, 1635.9859072174163, 1439.3534154759207, 1730.5047586677954, 1691.3994297308234, 2295.113385329934, 1543.5745513022828, 1902.5123398805326, 1529.747195812894, 1761.1162204877355, 1939.600053774627, 1773.1230348121335, 1723.8358153849877, 1377.439667197842, 1692.316278221266, 1821.099920565606, 1738.473990985934, 1891.2311588435566, 2100.736352596029, 1532.848258501308, 1810.207039873516, 2046.3387952330334, 1506.9524406303533, 1637.6401428460551, 1729.205860458791, 1792.4994027908906, 1227.8741150324402, 1960.544237363312, 1685.5637603899067, 1648.0767930419363, 1406.3040010212264, 1462.2780374490903, 1462.460320330936, 1637.7158490868774, 1362.4294524690324]"
